policy_no,insured_nm,eff_dt,exp_dt,state_cd
P1000,Customer 1,2024-01-01,2024-12-31,
P1001,Customer 2,2024-01-16,2025-01-15,ind.
P1002,Customer 3,2024-01-31,2025-01-30,
P1003,Customer 4,2024-02-15,2025-02-14,
P1004,Customer 5,2024-03-01,2025-03-01,ind.
P1005,Customer 6,2024-03-16,2025-03-16,ind.
P1006,Customer 7,2024-03-31,2025-03-31,
P1007,Customer 8,2024-04-15,2025-04-15,ill.
P1008,Customer 9,2024-04-30,2025-04-30,
P1009,Customer 10,2024-05-15,2025-05-15,
P1010,Customer 11,2024-05-30,2025-05-30,
P1011,Customer 12,2024-06-14,2025-06-14,
P1012,Customer 13,2024-06-29,2025-06-29,ind.
P1013,Customer 14,2024-07-14,2025-07-14,
P1014,Customer 15,2024-07-29,2025-07-29,ill.
P1015,Customer 16,2024-08-13,2025-08-13,ind.
P1016,Customer 17,2024-08-28,2025-08-28,ill.
P1017,Customer 18,2024-09-12,2025-09-12,ill.
P1018,Customer 19,2024-09-27,2025-09-27,ill.
P1019,Customer 20,2024-10-12,2025-10-12,ill.
